id,premise,hypothesis,lang_abv,language,label
b0c2761b43,exclaim astonish,cri shock,en,English,0
61f15fd66d,mnamo mei tunapaswa kuhitimisha chaguzi za upya wa uanachama kwa wachangiaji wa,kuna nafasi kwa wanachama kutengeza upya uanachama wao,sw,Swahili,1
12840a5edd,,,zh,Chinese,2
714a367262,unfhig kommunikation kritisch element absturzstell world trad cent pentagon somerset county pennsylvania mehr behrd mehr gerichtsbar reagiert,schwierig fr leut world trad cent kommunizi,de,German,0
37c01740c6,bauerstein style fatal night ad said twice alter everyth ive think,style respons happen,en,English,1
3d3149ec45,long agoor away whateverther world call thar anoth call erath,erath world ever exist,en,English,2
6c12f1e611,time spill vase mrs inglethorp bedroom nose cri,hidden anoth countri imposs us locat,en,English,2
9832b523a0,alway pay someon els cut fertil um edg um think year im go landscap put,never develop love garden,en,English,1
71bcd59dd6,get littl obsess sauc,sauc complic shes obsess perfect ingredi,en,English,1
aab0894630,rather kid today littl bundl joy also perhap ultim symbol world success status,kid today symbol success status parent,en,English,1
bda3f7467b,correct mis uvre cet approch fourn assur raison quun voyag sest produit,lapproch montr voyag a lieu,fr,French,0
7ca8ba219d,china civil war sent distress echo hong kong,japan fought civil war,en,English,2
e5c40e04ec,ولكن قد تكون دم العقل الأن,بلد قد وصل سريعاً لاستنتاج عن موقفه,ar,Arabic,0
c69352547f,postleitzahl mehr rout verwendet,ede postleitzahl rout bedient,de,German,2
cc18ec8d15,حسنا، أنا في التكساس ولدينا مدرس مات من مرض الإيدز,لم يسبق لي أن ذهبت إلى تكساس,ar,Arabic,2
05ab8a9326,لم تصل روح الليبرالية السائدة في أوروبا إلى إسبانيا إلا في وقت متأخرة,اسبانيا لم تكن ابدا ليبرالية,ar,Arabic,2
24444bd5df,оставено на собствените си средства тази реакция е екзергонична и в присъствието на излишък от тримери в сравнение с равновесното съотношение на хексамер към тримери ще тече екзергонално към равновесие чрез синтезиране на хексамера,ако тази реакция е недокосната тя в крайна сметка ще стигне до равновесие,bg,Bulgarian,0
e390988e6f,seven grant flow new nonprofit capac build program foundat part trend among philanthropist give money help organ grow stronger rather program servic provid,grant flow nonprofit capac build program foundat exemplifi trend among philanthropist give money grow organ take,en,English,1
9e42108ae0,elig could restrict alreadi pregnant least sexual activ age age combin thereof,age consent age well,en,English,1
26ef4fcb0c,complex subjonct fran souc moin mond bon simpl raison quil nessay lemploi,nessai parc quil na aucun motiv,fr,French,1
7fa1543ed0,maison blanch vatel ravis,maisonblanch changeratel dav,fr,French,0
2b2010a718,anglo westmount,,el,Greek,0
4acead92d8,respect bring steve job back save appl like bring gen,steve job came back appl,en,English,0
12127455a8,наскольк бо неуклюж барбадосск сеялк муча питер раньш видел испуга спин разда выстрел,видел питер чегот боя,ru,Russian,0
89467c0148,الكلمة الذاتية المرضية، والكلمة العادية بدلاً من الكلمة القانونية، هي صانعة للمتاعب وينبغي تجنبها,الرضا الذاتي ليس مشكلة,ar,Arabic,2
7b6768c074,somebodi home ill tend mean cant make everybodi,anyth,en,English,2
de5351757f,ตรงกันข้าม ใน cite de la musique คือ musee de la musique และห้องแสดงคอนเสิร์ตขนาดยักษ์ zenith,ซีนีนคือลานคอนเสริตขนาดใหญ่,th,Thai,0
11788e6295,generat generat michiko kakutani new york time like pearl k bell wall street journal find surfeit sweet obedi docil novel say part peril edg sentiment,complain novel lack emot,en,English,2
5aabaf3da7,надявам се да се чуем скоро,никога не ми говори отново,bg,Bulgarian,2
75cbac107c,hey problem fine polici,worri good polici,en,English,0
bbd3930178,fanni flono aufgewachs agaugusta ga ber erinner kindheit sprech,fanni flono konnt heut trotz voll terminkal sprech,de,German,1
5b09f9eabb,mtro subway fastest way move around citi buse capit big town best take sight,take subway good way experi big citi life,en,English,2
97ca4170dd,моят герой обаче е ричард хезълтайн председател на overseas investment trust който подаде оставка порано този месец в знак на несъгласие с бизнес плана наложен от неговите началници,хезълтайн напусна работата си,bg,Bulgarian,0
c5c2c039e5,sure took grant made mistak,simpli assum hed made mistak,en,English,0
b02c0e148c,,,hi,Hindi,2
604b64ca7f,im im plano school system live richardson real dichotomi term educ econom background kid go attend school,huge amount poor student wealthi,en,English,1
e66e2e370a,artcul stevenson muestr falt fundamental comprensin implic campa,aunqu stevenson viaj campa artcul dej clar prest atencin trat campa siqu nivel ms bsic,es,Spanish,1
716eeeea2a,okay think hang dont think anyth els,that hang right,en,English,0
5de2aa81ed,capit natur resourc use salt cure fish export home countri,use salt cure fish sent back home,en,English,0
6e108e3994,mag song generell regel stimm wrde rap whlen,rapfan mag song,de,German,0
f0e86993ca,news berat comput user pick obvious easili crack password chastis system administr ignor basic secur precaut,news outlet blame user system administr secur breach,en,English,2
aae865505c,newsweek บอกว่านักท่องเทียวและคนดังแห่กันไปปาตาโกเนีย ซึ่งครั้งหนึ่งเคยเป็นที่หลบภัยสำหรับนาซีที่หลบหนี,โรงแรมใหม่ได้รับการสร้างขึ้นใน patagonia เพื่อรองรับนักท่องเที่ยว,th,Thai,1
b3c705a914,good fortun hes prove right,show correct,en,English,0
99b71d209e,bad chose use mcintyr instead,mcintyr pick use close pitcher,en,English,1
dd63e67222,,,zh,Chinese,0
fc0a6ac2f5,offiziell nam flavian amphitheat familiennam erbau kais vespasian,niemand wei amphitheat pozzuoli nam bekam,de,German,2
6211b5072d,alikuwa mahuttuti katika mchafuko wa cuban na kaiser alizipata picha na akaelekea andrews air force mjini washington,ni mtu mmoja tu ndiye aliyeuawa katika ajali ya mgogoro wa cuba,sw,Swahili,1
8bbc9fd459,thing cost almost prohibit bring dealer,cheap bring dealer,en,English,2
3c2e8a360d,whole life polici polici provid insur insur entir life proceed face amount paid upon death insur,whole life polici best choic someon expect live age,en,English,1
b1ad9fb1ef,discuss four collect includ certif minimum number instal oper microwav link mainten computerread databas,discuss four collect,en,English,0
7cc9bb38f9,women provid shelter outreach domesticviol victim alreadi fulltim attorney,fulltim attorney women alreadi,en,English,0
a8bcd9ccf7,uh high humid,air increas water content,en,English,0
6c2527b960,trong trng hp ca thng tin lin lc bnh thng cui cng my bay lc sng,khng bt thng tin lin lc american,vi,Vietnamese,2
80f6ac92a4,need look implic differ role rang issu ses core compet perform standard recruit sourc mobil train develop program,complet ignor implic role mobil,en,English,2
eb04f1a8f0,yeah yeah yeah well that way might seem outward boy there lot go,anoth layer surfac,en,English,0
e7ad6c38fc,situat valu mailer improv servic would consid along cost work,consider given cost work case,en,English,2
ca2f6459bd,adequ inform judg generaliz,output inform way much general,en,English,1
212fc2ad66,polit cleans happen impeach process leav clinton great serious burden,impeach process involv clinton husband well,en,English,1
df8998b7a7,,,zh,Chinese,0
d5249d1219,isnt rememb ive eight year rememb come work use live wyli could see downtown dalla,two year,en,English,2
a38659ed31,us abl invest save attract financ abroad,us could save invest,en,English,2
ceedd25541,nu ai bn nm anh ta th phn phi mua cun ch khng phi mt bn nh hn tn km hn,ph ph hn sch,vi,Vietnamese,0
73fff19324,dij herman,culp herman,es,Spanish,0
8f448b8aa5,ajaj hab ingres unid vis turist b ciud nuev york septiembr,ajaj ten vis turist unid,es,Spanish,0
a49ecd3734,credibl vital factor jim lehrer inde,everyon would believ whatev jim lehrer said,en,English,1
952a08b1f3,someon knew go world,knew person idea go,en,English,2
8a4a9c16be,г код отмен вопрос относя международн терроризм получа код,вопрос относя терроризм получа высш приоритет,ru,Russian,1
73dce915f0,avis lavocat lopposit tribunal lagenc administr devr tre envoy,lavocat advers cour sattendent recevoir avis lgaux,fr,French,1
e1e92f6499,,,el,Greek,2
4c7b129507,ہے کیا؟ ہمارے پاس تقریباً ایک ایکڑ ہے، جی ہاں یہ عجیب ہے کیونکہ ہمارے پاس,یہ کوئی مذاق کی بات نہیں، ہمارے پاس صرف ایک مربع فٹ زمین ہے,ur,Urdu,2
ef98cc7a44,scorecard includ measur accuraci speed timeli unit cost custom satisfact employe develop satisfact,accuraci speed first measur list scorecard,en,English,1
247c31cc1f,,,el,Greek,2
2fa7d36591,first wives club,first wives club,el,Greek,1
ee747eb8ca,في الواقع، كلمة كوارك في قاموس أوكسفورد كفعل يعني تشاءم، مع مراجع القرن ال تشير إلى الضفادع والغربان، الملك الحزين,معظم الناس لا يعرفون أصل كلمة كوارك وأنها تشير إلى الضوضاء التي يصدرها الضفدع,ar,Arabic,1
dd883e1f46,left entranc ramp open space occupi templ athena close remain pergamen librari,remain visibl ramp,en,English,2
ab87e8abac,hm denk zeitung colorado spring lokal interess behandelt,glaub lokal zeitung daran interessiert brger sag,de,German,1
640c0172a6,keen learn isra folk danc bicurei haetim cellar heftman street teach,bicurei haetim cellar place learn isra folk danc,en,English,1
c4e8713899,sherlock holm,sherlock holm,en,English,0
c776773683,настольк привыкл слыша американск компан жал иностра конкуренц обвинен котор выдвига kodak сво поражен воспринима очередн скулеж,американск компан отвеча зарубежн конкуренц,ru,Russian,0
a14e13370f,though two citi remain unlink rail chang quick,two citi railway,en,English,0
39d065817a,tourist inform offic help,tourist inform offic never help,en,English,2
101dc2c1bb,detail implement plan also necessari address busi system process resourc issu,detail implement plan necessari address busi system process resourc,en,English,0
b645ab43a4,,,zh,Chinese,1
7df831c8e2,,,el,Greek,2
0c338feb50,first inject cannabinoid may mirror effect smoke marijuana,smoke marijuana get peopl higher inject cannabinoid,en,English,1
617f1dc5f2,data would present requir supplementari stewardship inform accompani consolid financi statement feder govern individu report compon unit,data would includ individu report concern constitu unit feder govern,en,English,2
8adeb402ee,boca da corrida encumeada moder hour view curral das freira valley ribeiro poco,view curral da freira valley ribeiro poco chapter,en,English,1
162467ddeb,chc chn fdny khng chu trch nhim vic qun phn ng ca thnh ph vi trng hp khn cp nh ch th ca th trng yu cu,vic qun phn ng ca thnh ph bi chc khc ngoi fdny,vi,Vietnamese,0
6595e3320d,,,el,Greek,2
a7a2a9fc5e,interest rate price charg per unit money borrow per year unit time usual express percentag,interest rate rang zero fifteen percent,en,English,1
e7bc15b1b9,that hilari get jack that right oh that funni stori,enjoy tell stori,en,English,1
f50208a07e,mr erlenborn attend undergradu cours univers notr dame indiana univers univers illinoi loyala univers chicago,mr erlenborn attend class least four differ univers,en,English,0
00ddb7aea4,unlik peopl fortun enough abl afford attorney go anoth lawyer client simpli lost legal system get access us,client afford attorney bounc lawyer,en,English,2
b0ee325483,final woman open eye feebli,open eye,en,English,0
b332076fc2,,,zh,Chinese,1
a5484dd197,finest huge conicalroof tombpillar absalom king david son,tombpillar absalom larg coneshap roof,en,English,0
d68455eccf,اس ہفتے حوصلہ افزائی کے عظیم سٹار کی محبت پر کین سٹار کی رپورٹ کی پیشکش پیش کرتا ہے،جس میں صدارتی لیمو میں رومانوی کا شمار ہوگا،اوول آفس اور یہاں تک کہ لائنر بیڈوم,پوچھنے والے کو وائٹ ہاؤس کے بارے میں علم تھا,ur,Urdu,0
34cd54592e,เมื่อทรายก่อตัวขึ้น ทรายก็เข้าสู่มุมทรงตัว แล้วขยายตัวเข้าสู่ขอบโต๊ะ,ทรายถูกตักโดยรถปราบดิน,th,Thai,1
0393073e4a,unless mention ritz accident remark,mention ritz accident,en,English,0
09b8ecb23f,four sentenc alway insert plagiar paper throw professor track,four sentenc forc professor skim paragraph inadvert skip plagiar inform,en,English,1
a9ee3935c9,,,el,Greek,1
0477c22e6d,man claim rob en rout strand without money plane ticket airport somewher europ middl east,claim rob way money plane ticket,en,English,0
3074381515,plan symbol scottish nation pride design miniparthenon defer neoclass style popular time,design smaller version parthenon,en,English,0
fc11d4b8cb,ogle,ogle,el,Greek,1
489847e94d,although claim data provid accur inform health care use ensur adequ followup purpos obtain inform patient selfreport import mani peopl report alcoholrel event insur compani,alcohol relat event contribut diseas often unreport patient insur compani,en,English,0
a235cb04e1,could pleas speak issu regard social ramif gum chew public,dont opinion gum chew public see,en,English,2
772391afdf,ha worker must depart countri subject deport fail,ha worker commit crime,en,English,1
e90c9dda0f,research found expect stress like loss check mail ill love one,stress affect peopl research expect,en,English,0
9f89cd56c7,релахо може да опише и шеговита връзка загадъчно обръщане напредназад което със смях облекчава напрежението и заличава причината за моментното напрежение,relajo се шегува за икономиката,bg,Bulgarian,1
8c3a69f486,walk,stay,en,English,2
836766ea05,statu repres king judah israel remodel draw violletleduc origin one pull revolut sinc thought king franc,peopl pull statu execut,en,English,1
ee546513c1,,,hi,Hindi,1
ba01e23d88,kama mimi msikoti wa majivuno ninahisi kuwa sababu kubwa ya hii maanzilishi ya ukosefu wa tamaa ya kilugha inapatikana kwa majimbo ya kinyumbani,lugha ya kikanda inawezekana kutokana na ukosefu wa tamaa ya lugha,sw,Swahili,0
648feccb3d,cadaan close door behind reti,cadaan close door enter bound shut rope,en,English,0
b23bdc1a30,small town like louisian lay scatter oil field main train line branch,main train line went small town,en,English,0
bf6fb470ee,лингвист котор пишут книг повидим навязыва точк зрен пор мягк говор маловразумительн,большинств лингвист пишут книг продвижен мнен друг,ru,Russian,2
b5ca4c01f3,think peopl um um lower incom automat equat lower educ,think higher incom equal lower educ,en,English,2
44bad2a664,good cheer,good cheer beer time near,en,English,1
5594f92e61,review histori import make crucial distinct,there point analyz past,en,English,2
970707c7f5,black river km mile longest jamaica arteri rout use transport rum lumber inland plantat,black river receiv name water stream actual black,en,English,1
3fa01b03f8,town five thousand one uh local fm station news fed cnn uh uh,town radio station never reli nation news sourc,en,English,2
2c9359d401,nexplos san dtonateur,dclencheur fait expos,fr,French,0
0bc8210460,certain categori control activ common agenc,control activ safe busi practic univers common across agenc,en,English,1
cfcc3db071,,,el,Greek,1
d37166ccce,judg lawyer dignitari present gather,two peopl show gather,en,English,2
1575809c3c,forgotten adrin,rememb adrin time,en,English,2
db6d9923f3,word paper exhibit alltootyp journalist tic expos potenti conflict interest involv politician ignor involv journalist,paper show journalist expos potenti conflict interest around politician never expos journalist,en,English,0
1e9caaf93c,final reason teen renaiss boomer selfobsess,boomer selfobsess one reason teen renaiss,en,English,0
9d597f75c9,death columbus jamaica becam properti son diego dispatch juan de esquivel island governor,jamaica inherit columbus son diego,en,English,0
1e0cc288b1,,,zh,Chinese,1
9deab91b98,задержа датир встреч слах октябр год,собран состоя декабр год,ru,Russian,2
8d7f3793e5,انہوں نے جیل میں لے جانے والے بولی، جیریمی نے خاموشی سے کہا,jeremy aik samundari dakoo tha apni pori zindagi,ur,Urdu,1
56d48aa27a,wont kill georg clooney charact er like jimmi smit nypd instead dr doug ross forc next two episod maverick heartthrob give unauthor painkil termin ill boy thursday pm,georg clooney lose job produc dont think act,en,English,2
fd0d3579c4,think ought go polic,go polic,en,English,0
e21db52eb1,yeah thing think would snap know,would surviv easili,en,English,2
f9f20650aa,taken number step empow invest employe,step taken put program employe place,en,English,0
6960d6ed8a,vahee baat new york times ke lie nahin kaha ja sakata hai cocaine vivaad par apne sampaadakeey mein times ne bush ko eemaanadaar hone kee salaah dee aur kaha ki desh ko apana upaay karane den,,hi,Hindi,2
85cc0bfc3d,case speech fiss appear believ reason american public less enlighten would wish concern matter femin right homosexu regul industri peopl deni access opinion inform would enlighten,peopl america well inform controversi topic accord fiss,en,English,2
9752c3f911,thi gian dnh cho ph huynh tr em bn nhau bc tin thc hin cc tng thc hnh ti tho lun trong cun sch ny,trong cun sch ny ti cp cc ch ph huynh con ci ca th thc hin trong khi dnh thi gian bn nhau,vi,Vietnamese,0
e1cfb4f6e6,rustic brasdavid picnic area exampl set alongsid burbl stream,picnic area near stream,en,English,2
13b2d2328b,uh well got got power mower itd probabl take lot less time enjoy feel good uh feel lot better power mower pull tractor dont push hard,would mow entir yard eight minut use power mower,en,English,1
8d360ce050,,,el,Greek,1
dc5c4be838,umhum yeah saw first time yesterday even,impress saw yesterday,en,English,1
12d5e4b5de,,,el,Greek,2
0ef9524ce7,bauerstein,alfr inglethorp,en,English,2
5bb743d827,makumbusho hayakuwa imara kwenye orodha au lebo,makavazi hayo hayapendi kuandikwa,sw,Swahili,1
0cc7c4de1b,lunch,go eat lunch,en,English,0
840da92d5e,poll hong kong resid find sanguin citi futur,poll hong kong resid find sanguin citi futur,en,English,1
1b1f7455ef,,,zh,Chinese,2
0fba15690f,هناك نوعان من المزايا التطورية لمتوسط المظهر,من المفيد أن تبدو عاديا لأن الناس يتركونك في حالك,ar,Arabic,1
e0bec36772,well meant grow mean like galveston,grew galveston grew dalla,en,English,1
fb3122d537,constitut unabl give away money satisfact made care inquiri worthi caus,research caus care donat money,en,English,0
2eca16560f,know like theyr know feel good theyr type thing,see way whole demeanor chang,en,English,1
bb14b19517,help,im help,en,English,2
ee4804f903,tradit open time mani hotel orthodox easter although open end april,hotel dont open halloween,en,English,1
a080e008b4,medic surgic expens coverag,medic surgic expens fulli cover,en,English,1
2d1499038c,exact im sit sofa crossstitch sudden somebodi man got hand door knob like uh like oh dont dont like guess way prevent would pass citi ordin prevent,man tri enter hous could rob,en,English,1
22cbc0822e,chines calendar use calcul year japan foundat count back year chines cosmolog cycl,japan foundat determin use chines calendar,en,English,0
1bdedd4aad,yeah pay fifteen yeah yes know yeah pay fifteen dollar month sure take long time,pay month take long time,en,English,2
58c7e2433e,bereit gegang sagt soll sorg darb,sagt einfach davon ausgeh schul gut geh wrde,de,German,1
e33426bedc,thus net scale benefit initi posit whether adjust wage premium,initi net scale benefit negat adjust wage premium,en,English,2
21429b747f,dautr encor smerveil tout simpl lutilis langag demand o ct analyt termin o ct motionnel commenc,peut tre difficil dcid exact o appel motionnel commencent,fr,French,0
f5ff8d63ad,ولكن مع تقدمها في العمر لم تعترف أنها كانت على خطأ ولكنها غيرت سلوكها,لم تعترف أبداً أنها كانت على خطأ,ar,Arabic,0
906a6e0a56,look youv busi come ask way,there reason ask like,en,English,0
8b0d14218c,ไตเติ้ลวีที่ทำการดำเนินการเรื่องการขออนุญาตจะต้องเปิดวิจารณ์ในที่สาธารณะได้,ต้องอนุญาตให้มีการแสดงความคิดเห็นสาธารณะ,th,Thai,0
d2c7168834,expert point age alon determin chines antiqu valu dynasti past creativ up down,collector base price chines antiqu age,en,English,2
7d508126f5,small town like louisian lay scatter oil field main train line branch,one town oil field,en,English,2
3ec78b9eee,затова не завърших колежа но никога не съм чел никоя от книгите които трябваше,изхвърчах от колежа през,bg,Bulgarian,1
a54d80a4c9,อย่างสังหรณ์ใจ มันดูเหมือนว่าจะเป็นไปไม่ได้ที่ดาวเคราะห์โลกของหน่วยอันซับซ้อนที่ไม่มีสิ่งมีชีวิตจะบังเกิดขึ้นเองตั้งแต่เหตุการณ์บิ๊กแบง,ดูเหมือนว่าสิ่งที่ไร้ชีวิตไม่ได้อยู่ที่นี่โดยบังเอิญ,th,Thai,0
88e6badfb0,regul may total support comprehens busi model concern inform would base lot judgment therefor lack precis could make enforc report standard difficult,difficulti report standard huge obstacl busi model,en,English,0
fd8b08abec,,johnson,el,Greek,1
d3494c9134,first get basic right block tackl financi report,basic need right first,en,English,0
bd5170cc00,still faint victorian atmospher dinard preserv best asset good luxuri villa long pave promenad plush hotel eleg boutiqu discothyqu casino park garden olympics public swim pool,dinard maintain victorian sensibl also includ luxuri element,en,English,0
7fc0868da7,along step certain practic prove especi import success effort,practic help,en,English,2
aea519b02b,ti ngt bnh lun mary hong gia,ti qua royal mary,vi,Vietnamese,0
e8c24ef38d,there someth,there absolut noth,en,English,2
04c794b893,انشغل روكفيلير في هذا العطاء المكروب بينما بدأت تاربيل الملاك المنتقم في تمزيق لحمه في مجلة ماكلورز,كان روكفلر يعطي,ar,Arabic,0
baf8d9d77e,easi overdos mani templ palac museum india,youll find scarciti palac templ across india,en,English,2
699cda3b5d,simpli,complic,en,English,0
a5051deb4b,yeah favorit team,favorit team,en,English,0
107e6cdc0b,an avant construct pal estei milreu tait auss grand maison campagn dun person minent,milreu tait mill tout,fr,French,1
43f0d888bd,една от разликите е че другите групи трябва да направят това защото за да функционират те трябва или да придават нови значения на съществуващите думи и фрази или да измислят нови думи и фрази,някои групи трябва да съставят нови думи които да отразяват променящите се времена,bg,Bulgarian,1
e0620a1cf3,histor renown freshwat lake known sea galile lake kinneret mean harp shape km mile circumfer,sea galile also known lake kinneret hundr year,en,English,1
75d19cb0b4,mean dont know someth think someth need,think could without would chang qualiti life great,en,English,2
aee859bf43,jon walk back town smithi,jon continu mountain,en,English,2
a044773c45,leland act simplifi household definit,household definit simplifi,en,English,0
68c98548f9,dar chignecto isthmus nova scotiaya bal olan new brunswick sadk mltecinin talebi zerine ylnda ayr bir il olmutur,new brunswick bir eyaletti,tr,Turkish,0
c34e3c518b,ey sanrm maa uzun vadede itibar konusunda onlarla ayn seviyede olacaz,nihayetinde benzer maa seenekleri sunabilmeliyiiz,tr,Turkish,0
47e70f26a2,data would present requir supplementari stewardship inform accompani consolid financi statement feder govern individu report compon unit,individu report focus compon unit wouldnt includ data,en,English,0
114a0981ad,,,zh,Chinese,1
ec3331392d,,,hi,Hindi,0
a5143d6482,اصلاحات جو ابھی تک اپنایا گیا ہے گہرے اثرات ہیں کہ کیا حکومت کرتی ہےیہ کس طرح منظم ہے،اور یہ کس طرح ملک اور اس کے شہریوں کے لیے اپنی خدمات انجام دیتی ہے,اصلاحات کا حکومت پر کوئی اثر نہیں ہے,ur,Urdu,2
44e1508411,initi demand land new town spectacular fact incent offer entic buyer,first demand land new town high properti sold swift,en,English,2
090f0faa90,well theyr close undef undef season tast wan na make histori dont think theyr gon na lack motiv,unless suffer loss theyll remain motiv,en,English,1
f810ce4215,thus net scale benefit initi posit whether adjust wage premium,net scale benefit becom negat time,en,English,1
f0c6c36fcc,nhm bo mt thng tin thc hin phin mi thng,nhm an ninh tin hnh nhiu kho trong mt nm,vi,Vietnamese,0
751ad9a0f0,,,hi,Hindi,0
d853d09c6b,utter mad,perfect normal,en,English,2
947c1b6778,save financ domest invest would increas net foreign invest improv current account balanc,save could increas net foreign invest substanti quick,en,English,1
03c7c4e5b1,مجھے ڈیل ڑیو جانے کا حکم دیا گیا تھا جب وہاں پہنچا تو پتا چلا کے لافلن ایئر فورس بیس جانا پرے گا۔,ایئر فورس نے مجھ کو میں ڈیل ریو، ٹیکساس بھیجا۔,ur,Urdu,1
